Time,True_theta,True_theta_dot,Meas_theta,Meas_theta_dot,Est_theta,Est_theta_dot
1.28,0.102893,-0.0030605,0.185116,-0.695718,0.103693,-0.0441647
1.29,0.102862,-0.0031334,0.361306,-0.156585,0.104949,-0.0600551
1.3,0.10283,-0.00320278,0.843175,0.951438,0.105282,-0.0663743
1.31,0.102798,-0.0032686,-0.104228,0.0981813,0.104403,-0.0514394
1.32,0.102765,-0.00333081,-0.201342,0.0353826,0.102919,-0.0523032
1.33,0.102731,-0.00338937,-0.0150672,-0.268535,0.1013,-0.053601
1.34,0.102697,-0.00344425,-0.142936,-0.128957,0.100901,-0.0605379
1.35,0.102663,-0.00349543,0.593165,-0.273602,0.0997456,-0.0632652
1.36,0.102627,-0.00354286,-0.0424466,0.94147,0.101014,-0.0650706
1.37,0.102592,-0.00358653,0.337204,-0.226481,0.0976866,-0.0441903
1.38,0.102556,-0.00362643,0.53753,1.42166,0.0983842,-0.0411807
1.39,0.102519,-0.00366253,0.793229,0.0339766,0.0959236,-0.01095
1.4,0.102482,-0.00369482,0.374316,0.150177,0.0976831,-0.00868514
1.41,0.102445,-0.0037233,0.564199,0.4105,0.0980342,-0.00297267
1.42,0.102408,-0.00374795,0.317615,-0.466347,0.0983715,0.00376762
1.43,0.10237,-0.00376879,0.311245,0.0875893,0.100087,-0.00273964
1.44,0.102333,-0.00378582,-0.409704,0.504704,0.100486,0.00453046
1.45,0.102295,-0.00379903,0.366739,0.196056,0.0980196,0.0153666
1.46,0.102257,-0.00380845,-0.0849062,-0.398733,0.0985363,0.0216625
1.47,0.102219,-0.00381409,0.0523906,-0.316585,0.0991623,0.0122799
1.48,0.10218,-0.00381596,-0.414582,-0.694191,0.0998694,0.00497304
1.49,0.102142,-0.00381409,0.804317,0.495676,0.100064,-0.00450954
1.5,0.102104,-0.0038085,0.0893937,-0.506902,0.100841,0.00301736
1.51,0.102066,-0.00379922,-0.665542,0.569493,0.101938,-0.00734085
1.52,0.102028,-0.00378628,0.30267,-0.470213,0.0985933,0.0114907
1.53,0.10199,-0.00376972,0.0667805,0.589446,0.100305,0.00377635
1.54,0.101953,-0.00374958,0.938432,-0.995115,0.0989836,0.0123875
1.55,0.101915,-0.0037259,0.85682,0.617707,0.103525,-0.00553715
1.56,0.101878,-0.00369872,0.32197,-0.278845,0.104161,0.00319705
1.57,0.101841,-0.0036681,-0.581256,0.167525,0.105377,-0.00160717
1.58,0.101805,-0.00363408,0.44369,0.0770846,0.103131,-0.00260892
1.59,0.101769,-0.00359672,-0.395159,0.475388,0.103874,0.00190267
1.6,0.101733,-0.00355607,0.384753,-0.389329,0.1016,0.0147653
1.61,0.101698,-0.0035122,-0.906393,0.350052,0.103376,0.0119914
1.62,0.101663,-0.00346517,-0.162038,-1.10209,0.100116,0.0204555
1.63,0.101628,-0.00341505,-0.031776,-0.0376412,0.101961,0.00460768
1.64,0.101594,-0.0033619,0.147912,-0.187297,0.10172,0.00147055
1.65,0.101561,-0.00330579,0.221252,0.436763,0.102263,0.000871455
1.66,0.101528,-0.00324681,0.603992,-0.603547,0.101701,0.00851202
1.67,0.101496,-0.00318501,1.05997,-1.50765,0.104349,-0.00398064
1.68,0.101465,-0.00312049,0.246594,-0.156331,0.109903,-0.0279904
1.69,0.101434,-0.00305332,0.850648,0.108444,0.11026,-0.0281384
1.7,0.101404,-0.00298358,0.126256,0.394582,0.111653,-0.0278368
1.71,0.101374,-0.00291136,0.128311,0.218935,0.110569,-0.0203986
1.72,0.101345,-0.00283674,0.497667,-0.646584,0.109904,-0.0204497
1.73,0.101317,-0.00275982,-0.00319781,-0.174261,0.111996,-0.0281326
1.74,0.10129,-0.00268068,0.300527,0.0171535,0.111678,-0.0338323
1.75,0.101264,-0.00259941,-0.552454,-0.52858,0.111715,-0.0362871
1.76,0.101238,-0.00251611,-0.678383,0.127123,0.110581,-0.0434011
1.77,0.101214,-0.00243086,0.579499,-0.0861604,0.107759,-0.0361863
1.78,0.10119,-0.00234377,0.762284,-0.0756266,0.108758,-0.0347872
1.79,0.101167,-0.00225494,-0.292143,0.82991,0.110204,-0.0371728
1.8,0.101145,-0.00216445,-0.608344,-0.356232,0.107081,-0.0206654
1.81,0.101123,-0.00207241,-0.08768,-0.526196,0.105619,-0.0302128
1.82,0.101103,-0.00197892,0.482104,0.643684,0.105768,-0.0401262
1.83,0.101084,-0.00188408,0.444696,-0.858257,0.104996,-0.0322506
1.84,0.101065,-0.00178799,-0.392758,0.246278,0.107213,-0.0422449
1.85,0.101048,-0.00169075,0.441633,0.326194,0.104928,-0.0348828
1.86,0.101032,-0.00159246,0.126707,-0.247228,0.104759,-0.0293029
1.87,0.101016,-0.00149324,-0.27648,-1.10128,0.104956,-0.0319999
1.88,0.101002,-0.00139317,0.121398,0.606288,0.105763,-0.0433743
1.89,0.100988,-0.00129236,0.275035,-0.12935,0.104097,-0.0337551
